Age,Total_Score,Study_Hours_per_Week,Sleep_Hours_per_Night,id,cluster,Academic_risk,Gender,Family_Income_Level
24.0,70.3,20.7,6.2,1.0,cluster_0,Medium,Male,Low
22.0,92.9,15.1,5.1,2.0,cluster_2,Low,Female,Low
23.0,66.1,15.4,7.1,3.0,cluster_1,High,Female,High
21.0,62.1,8.5,5.0,4.0,cluster_1,High,Male,High
21.0,95.6,8.0,8.8,5.0,cluster_2,Low,Female,Low
23.0,58.3,13.2,4.1,6.0,cluster_1,High,Female,Low
22.0,61.3,28.9,6.6,7.0,cluster_1,High,Male,High
21.0,59.1,18.1,4.5,8.0,cluster_1,High,Male,High
19.0,50.7,19.7,4.8,9.0,cluster_1,High,Female,Low
23.0,55.3,6.2,7.6,10.0,cluster_1,High,Female,Medium
20.0,66.9,23.5,4.4,11.0,cluster_0,Medium,Male,Low
18.0,88.5,16.9,8.1,12.0,cluster_2,Low,Male,Medium
19.0,61.8,24.9,6.0,13.0,cluster_1,High,Female,Low
21.0,87.4,21.6,6.2,14.0,cluster_2,Low,Female,Medium
18.0,90.2,23.5,5.6,15.0,cluster_2,Low,Male,High
21.0,72.2,11.2,4.0,16.0,cluster_0,Medium,Female,Low
23.0,68.5,7.0,6.7,17.0,cluster_0,Medium,Female,High
22.0,85.1,28.3,4.1,18.0,cluster_2,Low,Female,Medium
22.0,52.9,19.1,6.3,19.0,cluster_1,High,Male,Low
22.0,82.1,16.8,6.0,20.0,cluster_0,Medium,Female,High
21.0,86.5,5.8,5.6,21.0,cluster_2,Low,Female,Low
18.0,81.8,12.9,8.8,22.0,cluster_0,Medium,Female,Low
19.0,52.9,28.3,4.6,23.0,cluster_1,High,Female,Medium
22.0,97.6,15.4,4.0,24.0,cluster_2,Low,Female,Low
23.0,72.9,22.0,7.4,25.0,cluster_0,Medium,Female,Low
24.0,55.8,29.7,8.3,26.0,cluster_1,High,Male,Low
23.0,62.4,28.1,5.7,27.0,cluster_1,High,Male,Medium
20.0,61.0,9.7,4.3,28.0,cluster_1,High,Male,Low
23.0,68.3,23.7,4.4,29.0,cluster_0,Medium,Female,Low
22.0,73.4,26.1,5.8,30.0,cluster_0,Medium,Male,Medium
24.0,82.9,13.5,8.6,31.0,cluster_0,Medium,Male,Low
23.0,91.8,10.2,5.0,32.0,cluster_2,Low,Female,High
