Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Male,24,Business,57.19,67.05,93.68,67.7,85.7,5.05,73.79,70.3,D,20.7,No,Yes,Master's,Low,6,6.2
Female,22,Business,69.64,51.41,82.05,69.71,53.94,4.46,81.24,92.88,B,15.1,No,Yes,Bachelor's,Low,8,5.1
Female,23,CS,54.18,46.59,78.89,96.85,83.7,5.97,68.42,66.13,F,15.4,Yes,Yes,High School,High,2,7.1
Male,21,Engineering,75.725,78.85,43.53,71.4,52.2,6.38,67.29,62.08,B,8.5,Yes,Yes,PhD,High,1,5
Female,21,CS,85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,A,8,No,No,Bachelor's,Low,9,8.8
Female,23,CS,85.72,83.52,97.43,67.29,76.95,4.59,97.62,58.25,A,13.2,No,Yes,High School,Low,1,4.1
Male,22,CS,89.24,89.89,46.27,74.81,85.42,9.71,92.8,61.34,B,28.9,No,Yes,High School,High,4,6.6
Male,21,Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,F,18.1,No,Yes,Master's,High,8,4.5
Female,19,Business,89.1,57.08,90.58,64.9,87.24,8.86,84.85,50.69,B,19.7,No,Yes,Master's,Low,5,4.8
Female,23,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,F,6.2,No,No,PhD,Medium,10,7.6
Male,20,Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,66.94,D,23.5,Yes,Yes,PhD,Low,10,4.4
Male,18,CS,77.13,69.94,46.7,74.81,84.38,7.72,74.07,88.47,D,16.9,No,Yes,High School,Medium,2,8.1
Female,19,Engineering,96.35,52.41,85.32,69.16,75.27,4.44,56.42,61.81,A,24.9,Yes,Yes,Bachelor's,Low,9,6
Female,21,CS,64.88,66.98,65.28,54.68,81.87,2.55,57.45,87.35,F,21.6,No,Yes,Master's,Medium,8,6.2
Male,18,Business,52.3,49.8,64.18,57.63,65.79,4.13,81.9,90.24,C,23.5,No,Yes,High School,High,3,5.6
Female,21,Business,54.84,47.63,98.14,83.7,78.97,3.86,81.21,72.2,D,11.2,Yes,Yes,Bachelor's,Low,3,4
Female,23,Mathematics,61.8,72.28,79.32,71.04,95.61,6.91,93.12,68.53,A,7,No,Yes,Master's,High,3,6.7
Female,22,CS,52.58,54.85,53.46,76.89,94.32,7.88,58,85.1,F,28.3,No,Yes,High School,Medium,9,4.1
Male,22,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,B,19.1,No,Yes,Bachelor's,Low,3,6.3
Female,22,CS,51.61,78.68,67.18,71.42,71.01,4.28,76.45,82.05,C,16.8,No,Yes,PhD,High,8,6
Female,21,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,F,5.8,No,Yes,Master's,Low,1,5.6
Female,18,CS,71.96,47.46,86.1,56.84,63.17,6.67,77.85,81.78,F,12.9,No,Yes,Bachelor's,Low,10,8.8
Female,19,CS,77.04,75.9,86.88,74.81,54.19,3.17,72.24,52.86,B,28.3,No,Yes,PhD,Medium,9,4.6
Female,22,CS,89.77,56.86,82.38,74.81,50.77,0.62,63.95,97.63,A,15.4,No,Yes,High School,Low,2,4
Female,23,Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,72.85,A,22,No,Yes,Bachelor's,Low,9,7.4
Male,24,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.5,55.76,C,29.7,No,Yes,PhD,Low,7,8.3
Male,23,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,A,28.1,No,Yes,Bachelor's,Medium,6,5.7
Male,20,Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,60.99,A,9.7,No,Yes,Bachelor's,Low,2,4.3
Female,23,Business,75.725,65.72,73.94,91.6,79.25,8.17,95.66,68.29,A,23.7,No,Yes,Bachelor's,Low,5,4.4
Male,22,Mathematics,84.1,98.37,49.24,62.38,77.52,1.39,60.58,73.42,D,26.1,Yes,Yes,Master's,Medium,7,5.8
Male,24,CS,75.725,69.91,44.14,77.41,87.63,1.98,96.58,82.9,C,13.5,No,Yes,Master's,Low,5,8.6
Female,23,CS,86.73,51.24,45.67,65.74,92.75,5.77,98.7,91.8,A,10.2,No,Yes,Master's,High,4,5
Male,18,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,99.05,B,10.3,No,Yes,Master's,Medium,10,6.6
Male,24,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,B,13.4,No,Yes,Master's,Low,1,7.8
Female,20,CS,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,D,19.6,Yes,Yes,PhD,Medium,7,4.1
Female,23,Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,97.95,C,13.9,No,Yes,High School,Medium,5,8.4
Male,19,Business,75.725,52.45,85.21,93.65,61.64,8.66,92.48,82.55,B,5.3,No,Yes,High School,Medium,8,6.8
Male,24,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,F,10.1,No,No,Master's,Medium,8,5.2
