region_id,province_id,Name
53,252,ILOCOS NORTE
53,253,ILOCOS SUR
53,254,LA UNION
53,255,PANGASINAN
54,256,BATANES
54,257,CAGAYAN
54,258,ISABELA
54,259,NUEVA VIZCAYA
54,260,QUIRINO
55,261,AURORA
55,262,BATAAN
55,263,BULACAN
55,264,NUEVA ECIJA
55,265,PAMPANGA
55,266,TARLAC
55,267,ZAMBALES
56,268,BATANGAS
56,269,CAVITE
56,270,LAGUNA
56,271,QUEZON
56,272,RIZAL
57,273,MARINDUQUE
57,274,OCCIDENTAL MINDORO
57,275,ORIENTAL MINDORO
57,276,PALAWAN
57,277,ROMBLON
58,278,ALBAY
58,279,CAMARINES NORTE
58,280,CAMARINES SUR
58,281,CATANDUANES
58,282,MASBATE
58,283,SORSOGON
59,284,AKLAN
59,285,ANTIQUE
59,286,CAPIZ
59,287,GUIMARAS
59,288,ILOILO
59,289,NEGROS OCCIDENTAL
60,290,BOHOL
60,291,CEBU
60,292,NEGROS ORIENTAL
60,293,SIQUIJOR
61,294,BILIRAN
61,295,EASTERN SAMAR
61,296,LEYTE
61,297,NORTHERN SAMAR
61,298,SAMAR (WESTERN SAMAR)
61,299,SOUTHERN LEYTE
62,300,ZAMBOANGA DEL NORTE
62,301,ZAMBOANGA DEL SUR
62,302,ZAMBOANGA SIBUGAY
63,303,BUKIDNON
63,304,CAMIGUIN
63,305,LANAO DEL NORTE
63,306,MISAMIS OCCIDENTAL
63,307,MISAMIS ORIENTAL
64,308,COMPOSTELA VALLEY
64,309,DAVAO (DAVAO DEL NORTE)
64,310,DAVAO DEL SUR
64,311,DAVAO OCCIDENTAL
64,312,DAVAO ORIENTAL
65,313,COTABATO (NORTH COT.)
65,314,SARANGANI
65,315,SOUTH COTABATO
65,316,SULTAN KUDARAT
66,317,AGUSAN DEL NORTE
66,318,AGUSAN DEL SUR
66,319,DINAGAT ISLANDS
66,320,SURIGAO DEL NORTE
66,321,SURIGAO DEL SUR
67,322,BASILAN
67,323,LANAO DEL SUR
67,324,MAGUINDANAO
67,325,SULU
67,326,TAWI-TAWI
68,327,ABRA
68,328,APAYAO
68,329,BENGUET
68,330,IFUGAO
68,331,KALINGA
68,338,MOUNTAIN PROVINCE
69,339,NCR - 4th DISTRICT
69,340,NCR - 1st DISTRICT (MANILA)
69,341,NCR - 2nd DISTRICT
69,342,NCR - 3rd DISTRICT
69,343,TAGUIG-PATEROS
