"Year","Economy_Label","Flow_Label","US_at_current_prices_in_millions_Value"
"1948-01-01 00:00:00","Argentina","Exports",1629.0
"1948-01-01 00:00:00","Argentina","Imports",1562.0
"1948-01-01 00:00:00","Australia","Exports",1649.0
"1948-01-01 00:00:00","Australia","Imports",1341.0
"1948-01-01 00:00:00","Belgium","Exports",1690.0
"1948-01-01 00:00:00","Belgium","Imports",1985.0
"1948-01-01 00:00:00","Brazil","Exports",1183.0
"1948-01-01 00:00:00","Brazil","Imports",1127.0
"1948-01-01 00:00:00","Canada","Exports",3202.0
"1948-01-01 00:00:00","Canada","Imports",2740.0
"1948-01-01 00:00:00","Chile","Exports",327.0
"1948-01-01 00:00:00","Chile","Imports",270.0
"1948-01-01 00:00:00","China","Exports",520.0
"1948-01-01 00:00:00","China","Imports",387.0
"1948-01-01 00:00:00","Hong_Kong","Exports",399.0
"1948-01-01 00:00:00","Hong_Kong","Imports",523.0
"1948-01-01 00:00:00","Taiwan","Exports",17.0
"1948-01-01 00:00:00","Taiwan","Imports",5.0
"1948-01-01 00:00:00","Colombia","Exports",307.0
"1948-01-01 00:00:00","Colombia","Imports",337.0
"1948-01-01 00:00:00","Denmark","Exports",569.0
"1948-01-01 00:00:00","Denmark","Imports",713.0
"1948-01-01 00:00:00","Egypt","Exports",591.0
"1948-01-01 00:00:00","Egypt","Imports",715.0
"1948-01-01 00:00:00","Finland","Exports",501.0
"1948-01-01 00:00:00","Finland","Imports",488.0
"1948-01-01 00:00:00","France","Exports",2059.0
"1948-01-01 00:00:00","France","Imports",3504.0
"1948-01-01 00:00:00","Germany","Exports",0.0
"1948-01-01 00:00:00","Germany","Imports",0.0
"1948-01-01 00:00:00","Hungary","Exports",253.0
"1948-01-01 00:00:00","Hungary","Imports",168.0
"1948-01-01 00:00:00","India","Exports",1295.0
"1948-01-01 00:00:00","India","Imports",1427.0
"1948-01-01 00:00:00","Indonesia","Exports",0.0
"1948-01-01 00:00:00","Indonesia","Imports",0.0
"1948-01-01 00:00:00","Israel","Exports",6.0
"1948-01-01 00:00:00","Israel","Imports",108.0
"1948-01-01 00:00:00","Italy","Exports",1077.0
"1948-01-01 00:00:00","Italy","Imports",1539.0
"1948-01-01 00:00:00","Japan","Exports",258.0
"1948-01-01 00:00:00","Japan","Imports",684.0
"1948-01-01 00:00:00","Malaysia","Exports",621.0
"1948-01-01 00:00:00","Malaysia","Imports",457.0
"1948-01-01 00:00:00","Mexico","Exports",555.0
"1948-01-01 00:00:00","Mexico","Imports",643.0
"1948-01-01 00:00:00","Netherlands","Exports",1185.0
"1948-01-01 00:00:00","Netherlands","Imports",2148.0
"1948-01-01 00:00:00","Norway","Exports",415.0
"1948-01-01 00:00:00","Norway","Imports",750.0
"1948-01-01 00:00:00","Peru","Exports",162.0
"1948-01-01 00:00:00","Peru","Imports",168.0
"1948-01-01 00:00:00","Philippines","Exports",310.0
"1948-01-01 00:00:00","Philippines","Imports",644.0
"1948-01-01 00:00:00","Poland","Exports",594.0
"1948-01-01 00:00:00","Poland","Imports",519.0
"1948-01-01 00:00:00","Portugal","Exports",172.0
"1948-01-01 00:00:00","Portugal","Imports",415.0
"1948-01-01 00:00:00","South_Korea","Exports",19.0
"1948-01-01 00:00:00","South_Korea","Imports",206.0
"1948-01-01 00:00:00","Russia","Exports",0.0
"1948-01-01 00:00:00","Russia","Imports",0.0
"1948-01-01 00:00:00","Saudi_Arabia","Exports",330.0
"1948-01-01 00:00:00","Saudi_Arabia","Imports",127.0
