"month","Argentina","Australia","Belgium","Brazil","Canada","Switzerland","Chile","China","Colombia","Germany","Denmark","Egypt","Spain","Finland","France","United_Kingdom","Hong_Kong","Hungary","Indonesia","India","Israel","Italy","Japan","South_Korea","Mexico","Malaysia","Netherlands","Norway","Peru","Philippines","Poland","Portugal","Russia","Saudi_Arabia","Sweden","Thailand","Tunisia","Turkiye","Taiwan","Ukraine","United_States","Venezuela","Viet_Nam","South_Africa"
"1900-01-01 00:00:00",0.03,0.08,0.09,0.01,0.09,0.04,0.01,0.23,0.03,0.53,0.01,0.05,0.56,0.03,0.67,1.54,0.0,0.03,0.0,0.27,0.0,0.05,0.09,0.01,0.06,0.0,0.25,0.01,0.01,0.88,0.05,0.25,0.26,0.0,0.01,0.08,0.0,0.04,0.0,0.0,2.72,0.05,0.01,1.15
"1900-02-01 00:00:00",0.01,0.15,0.15,0.03,0.1,0.08,0.01,0.1,0.0,0.64,0.03,0.2,0.39,0.0,0.96,1.88,0.0,0.04,0.0,0.39,0.01,0.2,0.04,0.0,0.1,0.0,0.31,0.01,0.01,0.47,0.01,0.14,0.33,0.0,0.0,0.08,0.0,0.13,0.0,0.0,2.73,0.03,0.0,1.14
"1900-03-01 00:00:00",0.01,0.13,0.1,0.01,0.18,0.03,0.0,0.14,0.01,0.46,0.0,0.09,0.39,0.0,0.54,1.35,0.0,0.04,0.0,0.28,0.04,0.18,0.1,0.06,0.05,0.0,0.21,0.03,0.01,0.35,0.01,0.05,0.39,0.0,0.01,0.12,0.0,0.18,0.0,0.0,2.15,0.03,0.0,0.86
"1900-04-01 00:00:00",0.0,0.08,0.03,0.0,0.08,0.01,0.0,0.11,0.05,0.21,0.04,0.01,0.29,0.03,0.39,1.12,0.0,0.0,0.0,0.12,0.0,0.09,0.15,0.03,0.05,0.0,0.04,0.01,0.03,0.33,0.0,0.08,0.27,0.0,0.0,0.04,0.0,0.07,0.0,0.0,1.78,0.0,0.0,0.64
"1900-05-01 00:00:00",0.0,0.12,0.03,0.05,0.26,0.01,0.03,0.11,0.05,0.41,0.03,0.04,0.26,0.0,0.49,1.11,0.0,0.03,0.0,0.22,0.0,0.12,0.07,0.0,0.07,0.0,0.19,0.03,0.0,0.49,0.0,0.08,0.18,0.0,0.0,0.16,0.0,0.08,0.0,0.0,1.97,0.01,0.0,0.79
"1900-06-01 00:00:00",0.0,0.07,0.12,0.0,0.05,0.03,0.01,1.49,0.05,0.69,0.05,0.05,0.14,0.0,0.99,1.6,0.0,0.0,0.0,0.3,0.0,0.21,0.73,0.04,0.05,0.0,0.14,0.03,0.03,0.53,0.01,0.07,0.95,0.0,0.01,0.08,0.01,0.11,0.03,0.0,2.73,0.03,0.04,0.67
"1900-07-01 00:00:00",0.03,0.07,0.09,0.04,0.08,0.07,0.05,2.8,0.05,1.1,0.04,0.05,0.48,0.01,1.21,1.82,0.01,0.04,0.01,0.62,0.01,0.28,1.04,0.07,0.12,0.0,0.09,0.01,0.0,0.62,0.01,0.04,1.04,0.0,0.01,0.25,0.0,0.15,0.04,0.0,3.54,0.03,0.03,0.29
"1900-08-01 00:00:00",0.0,0.08,0.13,0.0,0.11,0.0,0.0,2.65,0.0,1.07,0.01,0.03,0.38,0.01,1.08,1.9,0.01,0.04,0.0,0.26,0.03,0.45,1.27,0.07,0.08,0.0,0.09,0.0,0.0,0.54,0.05,0.03,1.11,0.0,0.04,0.24,0.01,0.08,0.04,0.0,3.55,0.03,0.01,0.24
"1900-09-01 00:00:00",0.05,0.03,0.04,0.05,0.04,0.03,0.07,0.91,0.05,0.72,0.0,0.01,0.46,0.01,0.54,0.77,0.0,0.03,0.0,0.12,0.03,0.24,0.3,0.01,0.12,0.0,0.03,0.01,0.03,0.41,0.01,0.09,0.79,0.0,0.0,0.14,0.0,0.04,0.01,0.0,2.01,0.01,0.0,0.18
"1900-10-01 00:00:00",0.0,0.05,0.11,0.0,0.04,0.0,0.0,0.44,0.01,0.32,0.0,0.03,0.27,0.03,0.27,0.45,0.03,0.01,0.0,0.12,0.0,0.05,0.07,0.01,0.04,0.0,0.05,0.01,0.04,0.41,0.0,0.01,0.18,0.0,0.01,0.07,0.0,0.03,0.0,0.0,1.26,0.0,0.0,0.21
"1900-11-01 00:00:00",0.03,0.01,0.03,0.03,0.04,0.03,0.04,0.45,0.04,0.46,0.0,0.03,0.33,0.01,0.42,0.6,0.0,0.05,0.0,0.08,0.0,0.16,0.08,0.0,0.03,0.0,0.08,0.0,0.04,0.34,0.03,0.03,0.2,0.0,0.01,0.07,0.0,0.04,0.0,0.0,1.6,0.0,0.01,0.29
"1900-12-01 00:00:00",0.03,0.07,0.04,0.03,0.07,0.04,0.04,0.33,0.08,0.37,0.01,0.13,0.25,0.01,0.39,0.92,0.0,0.01,0.0,0.16,0.0,0.1,0.12,0.03,0.03,0.0,0.17,0.01,0.03,0.2,0.0,0.07,0.14,0.0,0.03,0.09,0.01,0.09,0.0,0.0,1.61,0.08,0.0,0.41
"1901-01-01 00:00:00",0.01,0.0,0.07,0.0,0.06,0.0,0.0,0.32,0.04,0.13,0.09,0.03,0.28,0.0,0.36,0.53,0.0,0.04,0.0,0.25,0.01,0.06,0.1,0.0,0.03,0.0,0.09,0.0,0.04,0.25,0.0,0.03,0.15,0.0,0.01,0.13,0.0,0.01,0.0,0.0,1.44,0.16,0.0,0.23
"1901-02-01 00:00:00",0.0,0.11,0.06,0.03,0.11,0.0,0.02,0.32,0.02,0.36,0.05,0.06,0.4,0.02,0.45,0.73,0.0,0.03,0.0,0.17,0.0,0.14,0.09,0.02,0.06,0.0,0.17,0.02,0.0,0.37,0.02,0.03,0.25,0.0,0.02,0.09,0.0,0.09,0.02,0.0,1.65,0.06,0.0,0.28
"1901-03-01 00:00:00",0.0,0.01,0.04,0.0,0.04,0.04,0.0,0.59,0.01,0.34,0.0,0.01,0.27,0.0,0.31,0.79,0.0,0.01,0.0,0.16,0.0,0.04,0.39,0.14,0.03,0.0,0.03,0.0,0.0,0.39,0.0,0.0,0.61,0.0,0.01,0.01,0.0,0.11,0.0,0.0,1.69,0.0,0.0,0.29
