,Year,Country,Trade_Flow,Trade_Value,GPRHI
6422,2021,Argentina,Exports,77934.0,0.01
6423,2021,Argentina,Imports,63184.0,0.01
6424,2021,Australia,Exports,344864.0,0.1
6425,2021,Australia,Imports,261165.0,0.1
6426,2021,Belgium,Exports,551478.0,0.13
6427,2021,Belgium,Imports,526615.0,0.13
6428,2021,Brazil,Exports,280815.0,0.05
6429,2021,Brazil,Imports,234690.0,0.05
6430,2021,Canada,Exports,509441.0,0.1
6431,2021,Canada,Imports,506476.0,0.1
6432,2021,Chile,Exports,94601.0,0.01
6433,2021,Chile,Imports,92393.0,0.01
6434,2021,China,Exports,3316022.0,0.56
6435,2021,China,Imports,2679412.0,0.56
6436,2021,Hong_Kong,Exports,669903.0,0.07
6437,2021,Hong_Kong,Imports,712358.0,0.07
6438,2021,Taiwan,Exports,447693.0,0.09
6439,2021,Taiwan,Imports,382101.0,0.09
6440,2021,Colombia,Exports,40287.0,0.03
6441,2021,Colombia,Imports,61101.0,0.03
6442,2021,Denmark,Exports,125945.0,0.03
6443,2021,Denmark,Imports,120307.0,0.03
6444,2021,Egypt,Exports,41310.0,0.11
6445,2021,Egypt,Imports,74550.0,0.11
6446,2021,Finland,Exports,81996.0,0.02
6447,2021,Finland,Imports,86013.0,0.02
6448,2021,France,Exports,585021.0,0.45
6449,2021,France,Imports,715082.0,0.45
6450,2021,Germany,Exports,1627375.0,0.35
6451,2021,Germany,Imports,1411439.0,0.35
6452,2021,Hungary,Exports,141830.0,0.03
6453,2021,Hungary,Imports,142917.0,0.03
6454,2021,India,Exports,395426.0,0.15
6455,2021,India,Imports,573092.0,0.15
6456,2021,Indonesia,Exports,231506.0,0.02
6457,2021,Indonesia,Imports,196190.0,0.02
6458,2021,Israel,Exports,60159.0,0.29
6459,2021,Israel,Imports,92155.0,0.29
6460,2021,Italy,Exports,615635.0,0.11
6461,2021,Italy,Imports,567421.0,0.11
6462,2021,Japan,Exports,756032.0,0.14
6463,2021,Japan,Imports,768976.0,0.14
6464,2021,Malaysia,Exports,299425.0,0.02
6465,2021,Malaysia,Imports,238240.0,0.02
6466,2021,Mexico,Exports,494949.0,0.09
6467,2021,Mexico,Imports,522455.0,0.09
6468,2021,Netherlands,Exports,840032.0,0.04
6469,2021,Netherlands,Imports,757380.0,0.04
6470,2021,Norway,Exports,160106.0,0.05
6471,2021,Norway,Imports,97764.0,0.05
6472,2021,Peru,Exports,59648.0,0.02
6473,2021,Peru,Imports,50891.0,0.02
6474,2021,Philippines,Exports,74618.0,0.03
6475,2021,Philippines,Imports,124367.0,0.03
6476,2021,Poland,Exports,340634.0,0.1
6477,2021,Poland,Imports,342075.0,0.1
6478,2021,Portugal,Exports,75229.0,0.01
6479,2021,Portugal,Imports,98200.0,0.01
6480,2021,South_Korea,Exports,644400.0,0.21
6481,2021,South_Korea,Imports,615093.0,0.21
6482,2021,Russia,Exports,494161.0,0.66
6483,2021,Russia,Imports,301046.0,0.66
6484,2021,Saudi_Arabia,Exports,276179.0,0.13
6485,2021,Saudi_Arabia,Imports,152849.0,0.13
6486,2021,South_Africa,Exports,123572.0,0.04
6487,2021,South_Africa,Imports,113989.0,0.04
6488,2021,Spain,Exports,379969.0,0.05
6489,2021,Spain,Imports,419700.0,0.05
6490,2021,Sweden,Exports,189524.0,0.05
6491,2021,Sweden,Imports,187108.0,0.05
6492,2021,Switzerland,Exports,380194.0,0.04
6493,2021,Switzerland,Imports,324069.0,0.04
6494,2021,Thailand,Exports,272006.0,0.04
6495,2021,Thailand,Imports,267343.0,0.04
6496,2021,Tunisia,Exports,16689.0,0.02
6497,2021,Tunisia,Imports,22486.0,0.02
6498,2021,Turkiye,Exports,225214.0,0.21
