Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Sales
2022-01-01,S001,P0001,Groceries,North,231,127.0,55.0,135.47,33.5,20,Rainy,0,29.69,Autumn,4254.5
2022-01-01,S001,P0002,Toys,South,204,150.0,66.0,144.04,63.01,20,Sunny,0,66.16,Autumn,9451.5
2022-01-01,S001,P0003,Toys,West,102,65.0,51.0,74.02,27.99,10,Sunny,1,31.32,Summer,1819.35
2022-01-01,S001,P0004,Toys,North,469,61.0,164.0,62.18,32.72,10,Cloudy,1,34.74,Autumn,1995.9199999999998
2022-01-01,S001,P0005,Electronics,East,166,14.0,135.0,9.26,73.64,0,Sunny,0,68.95,Summer,1030.96
2022-01-01,S001,P0006,Groceries,South,138,128.0,102.0,139.82,76.83,10,Sunny,1,79.35,Winter,9834.24
2022-01-01,S001,P0007,Furniture,East,359,97.0,167.0,108.92,34.16,10,Rainy,1,36.55,Winter,3313.5199999999995
2022-01-01,S001,P0008,Clothing,North,380,312.0,54.0,329.73,97.99,5,Cloudy,0,100.09,Spring,30572.879999999997
2022-01-01,S001,P0009,Electronics,West,183,175.0,135.0,174.15,20.74,10,Cloudy,0,17.66,Autumn,3629.4999999999995
2022-01-01,S001,P0010,Toys,South,108,28.0,196.0,24.47,59.99,0,Rainy,1,61.21,Winter,1679.72
2022-01-01,S001,P0011,Furniture,South,258,150.0,153.0,152.74,58.53,10,Sunny,1,61.42,Spring,8779.5
2022-01-01,S001,P0012,Clothing,West,66,24.0,70.0,26.75,58.25,20,Snowy,0,62.21,Spring,1398.0
2022-01-01,S001,P0013,Toys,South,96,42.0,85.0,41.46,43.6,0,Cloudy,0,46.31,Spring,1831.2
2022-01-01,S001,P0014,Clothing,West,193,12.0,187.0,6.8,78.11,0,Sunny,0,80.06,Spring,937.3199999999999
2022-01-01,S001,P0015,Clothing,North,379,369.0,154.0,363.46,92.99,15,Snowy,0,95.8,Winter,34313.31
2022-01-01,S001,P0016,Electronics,North,363,255.0,69.0,255.74,21.9,5,Cloudy,1,20.27,Autumn,5584.5
2022-01-01,S001,P0017,Toys,West,318,246.0,177.0,255.37,21.07,20,Sunny,0,16.49,Winter,5183.22
2022-01-01,S001,P0018,Clothing,South,241,151.0,47.0,147.27,19.57,5,Cloudy,0,23.13,Autumn,2955.07
2022-01-01,S001,P0019,Clothing,East,352,257.0,186.0,267.38,73.28,10,Cloudy,0,77.26,Winter,18832.96
