Date,Units Sold,Price,Sales,MovingAve7,MovingAve30
2022-01-01,14484.0,5751.57,879026.03,,
2022-01-02,13415.0,6063.65,836077.35,,
2022-01-03,13681.0,5679.93,731941.24,,
2022-01-04,14084.0,5299.3,719558.41,,
2022-01-05,12572.0,5599.58,712140.43,,
2022-01-06,12563.0,5701.87,653506.34,,
2022-01-07,11826.0,5873.71,698870.87,747302.9528571429,
2022-01-08,13958.0,5337.05,767673.15,731395.3985714286,
2022-01-09,15896.0,5863.92,960202.79,749127.6042857143,
2022-01-10,13607.0,5483.67,733750.8,749386.1128571428,
2022-01-11,14866.0,5491.12,819069.36,763601.9628571429,
2022-01-12,11622.0,5836.4800000000005,693162.04,760890.7642857144,
2022-01-13,12692.0,5448.08,620441.17,756167.1685714286,
2022-01-14,13156.0,5682.95,773305.5700000001,766800.6971428572,
2022-01-15,13753.0,5444.55,753389.35,764760.1542857143,
2022-01-16,15603.0,5379.04,863925.49,751006.2542857144,
2022-01-17,13139.0,5555.17,722110.02,749343.2857142857,
2022-01-18,14079.0,5737.7,833931.83,751466.4957142856,
2022-01-19,14047.0,5282.48,749073.52,759453.8499999999,
2022-01-20,14594.0,5712.68,850098.01,792261.97,
2022-01-21,12646.0,5727.89,734530.1699999999,786722.6271428572,
2022-01-22,14830.0,5271.21,773529.51,789599.7928571429,
2022-01-23,12650.0,5086.86,679640.14,763273.3142857142,
2022-01-24,11277.0,5773.52,644613.33,752202.3585714286,
2022-01-25,13945.0,5417.75,738016.22,738500.1285714286,
2022-01-26,13680.0,5534.66,681613.34,728862.9600000001,
2022-01-27,13761.0,5510.26,788600.23,720077.5628571428,
2022-01-28,13162.0,5181.36,645261.16,707324.8471428572,
2022-01-29,13169.0,5275.74,708466.89,698030.1871428571,
2022-01-30,13994.0,5800.97,813612.35,717169.0742857143,752637.9036666666
2022-01-31,13187.0,5525.53,681227.22,722399.63,746044.6099999999
2022-02-01,13852.0,5225.07,726055.22,720690.9157142856,742377.2056666667
2022-02-02,14547.0,5221.46,724488.09,726815.8799999999,742128.7673333333
2022-02-03,12774.0,5418.38,652415.55,707360.9257142858,739890.672
2022-02-04,12904.0,5454.77,695237.22,714500.3628571428,739327.2316666667
2022-02-05,15101.0,5364.08,798126.86,727308.9299999999,744147.9156666666
2022-02-06,13927.0,5464.21,764345.35,720270.7871428571,746330.3983333333
2022-02-07,13623.0,5440.83,696920.94,722512.747142857,743971.9913333333
2022-02-08,14104.0,5171.92,736007.38,723934.4842857143,736498.8110000001
2022-02-09,13753.0,5574.46,753207.52,728037.26,737147.3683333334
2022-02-10,14412.0,5655.66,851981.74,756546.7157142857,738244.4476666667
2022-02-11,15670.0,4776.55,767772.96,766908.9642857143,740731.4783333334
2022-02-12,13849.0,5768.92,793109.99,766192.2685714287,746487.1056666666
2022-02-13,10977.0,5256.09,581923.69,740132.0314285714,740107.7096666667
2022-02-14,13780.0,5851.15,820947.8,757850.1542857143,742359.658
2022-02-15,13976.0,5600.84,757697.28,760948.7114285714,738818.7176666667
2022-02-16,16195.0,5539.58,893682.11,781016.51,744537.7873333334
2022-02-17,13613.0,5732.28,795136.16,772895.7128571429,743244.5983333333
2022-02-18,15041.0,5560.85,874074.94,788081.71,747411.3123333332
2022-02-19,12144.0,5279.68,627974.81,764490.9700000001,740007.2056666667
2022-02-20,13536.0,5783.97,787617.09,793875.7414285715,741776.7696666666
2022-02-21,12796.0,5557.67,727497.63,780525.7171428573,740242.3736666667
2022-02-22,14517.0,5333.95,797485.68,786209.7742857143,744170.5583333333
2022-02-23,13531.0,5134.99,669721.8200000001,754215.4471428571,745007.5079999999
2022-02-24,14168.0,5078.4,732628.47,745285.7771428572,744827.9163333332
2022-02-25,13141.0,5316.97,694240.5,719595.1428571428,745248.8216666667
2022-02-26,15049.0,5291.57,761846.36,738719.65,744357.026
2022-02-27,15234.0,5858.68,893883.26,753900.5314285714,752644.4293333333
2022-02-28,14838.0,5243.81,808895.38,765528.7814285714,755992.0456666666
2022-03-01,14107.0,5773.65,883556.24,777824.5757142857,758323.5086666667
2022-03-02,14098.0,5372.14,741390.12,788062.9042857143,760328.9386666665
2022-03-03,12926.0,5769.67,727769.72,787368.7971428571,760386.0886666666
2022-03-04,14210.0,5858.21,836060.44,807628.7885714285,764105.1669999999
2022-03-05,13907.0,5115.1,740189.74,804534.9857142856,767030.9733333333
2022-03-06,13169.0,6268.53,805323.41,791883.5785714285,770700.513
2022-03-07,13539.0,5791.39,769291.24,786225.8442857143,769739.3256666666
2022-03-08,14747.0,5546.86,824890.9,777845.0814285715,771757.5106666667
2022-03-09,13956.0,5601.72,782224.21,783678.5228571428,774600.953
2022-03-10,13804.0,5273.16,711897.56,781411.0714285715,773797.2923333333
2022-03-11,13842.0,5953.83,865221.34,785576.9142857144,777531.0863333333
2022-03-12,14252.0,5516.3,797390.22,793748.4114285714,775711.3690000001
2022-03-13,13554.0,5767.1,774816.8200000001,789390.3271428571,775946.1643333334
2022-03-14,13521.0,5608.7,809336.24,795111.0414285715,776487.0393333334
2022-03-15,11057.0,5584.79,612913.4,764828.5414285716,777520.0296666666
2022-03-16,12949.0,5514.22,710160.97,754533.7928571429,773827.1353333333
2022-03-17,12675.0,5498.62,718596.19,755490.74,772523.7656666668
2022-03-18,14324.0,5264.8099999999995,713857.23,733867.2957142858,766529.603
2022-03-19,13990.0,5446.59,784562.07,732034.7028571429,766177.1333333333
2022-03-20,13274.0,5983.34,813890.4299999999,737616.6471428572,764170.9830000001
2022-03-21,13913.0,5968.2,830368.34,740621.2328571428,770917.434
2022-03-22,13212.0,5296.17,664282.21,747959.6342857144,766806.2713333332
2022-03-23,13356.0,5413.45,702128.38,746812.1214285714,765960.6296666667
2022-03-24,14667.0,5464.76,814539.53,760518.3128571429,766529.0913333333
2022-03-25,14740.0,5573.78,817764.44,775362.2,771463.8453333334
2022-03-26,14666.0,5942.83,900958.1900000001,791990.2171428573,777074.836
2022-03-27,14754.0,5602.68,831367.77,794486.9799999999,781645.745
2022-03-28,12416.0,5146.31,679705.17,772963.6699999999,778907.7053333333
2022-03-29,14141.0,5380.45,724210.61,781524.87,773251.9503333332
2022-03-30,13330.0,5166.65,702833.07,781625.54,769716.5399999999
2022-03-31,14977.0,6252.55,913253.95,795727.5999999999,770706.4636666666
2022-04-01,12876.0,5474.68,678970.9,775899.9514285715,768625.8230000001
2022-04-02,12522.0,5639.23,703155.69,747642.4514285715,767805.3553333334
2022-04-03,14408.0,5248.92,738780.72,734415.7300000001,764562.6980000001
2022-04-04,13798.0,5754.25,786950.6900000001,749736.5185714286,766121.3963333333
2022-04-05,13273.0,5364.24,688476.89,744631.7014285715,762226.5123333333
2022-04-06,13519.0,5315.39,705616.39,745029.3185714285,760104.0173333333
2022-04-07,14573.0,6029.78,814545.9199999999,730928.1714285715,759759.1846666667
2022-04-08,13682.0,5673.56,759656.03,742454.6185714286,759006.912
2022-04-09,15406.0,5030.02,902629.68,770950.9028571428,765364.6493333334
2022-04-10,13276.0,5148.16,754411.66,773183.8942857143,761670.9933333334
2022-04-11,14487.0,5329.24,755273.75,768658.6171428572,760267.111
2022-04-12,13970.0,5690.06,768606.1,780105.6471428571,760060.0869999999
2022-04-13,12520.0,6093.5,767277.59,788914.39,758658.132
2022-04-14,13203.0,5367.57,701425.0,772754.2585714286,761608.5186666666
2022-04-15,13663.0,5622.03,736032.84,769379.5171428572,762470.9143333334
2022-04-16,13268.0,6224.87,779725.97,751821.8442857143,764508.5736666668
2022-04-17,15220.0,5913.72,921165.16,775643.7728571428,771418.8379999999
2022-04-18,14729.0,5731.18,797179.66,781630.3314285715,771839.4243333333
2022-04-19,14105.0,5424.56,772104.52,782130.1057142857,770446.5606666667
2022-04-20,13277.0,5760.54,760394.08,781146.747142857,768114.0853333332
2022-04-21,13579.0,5583.98,718062.52,783523.5357142857,769906.7623333334
2022-04-22,11224.0,5434.37,621505.23,767162.4485714285,767219.3239999999
2022-04-23,11920.0,5682.4,676179.87,752370.1485714286,762607.3353333335
2022-04-24,13153.0,5652.31,794546.01,734281.6985714285,761833.3876666666
2022-04-25,12854.0,5750.61,729565.25,724622.497142857,756120.2896666665
2022-04-26,13918.0,5234.03,719249.7,717071.8085714286,752383.0206666666
2022-04-27,13007.0,5069.18,671962.9,704438.782857143,752124.9450000001
2022-04-28,15016.0,6241.34,927234.03,734320.427142857,758892.3923333335
2022-04-29,12408.0,5490.19,682506.77,743034.9328571429,758214.849
2022-04-30,14526.0,5438.39,777475.29,757505.7071428571,753688.8936666666
2022-05-01,12927.0,5740.04,755170.23,751880.5957142857,756228.8713333333
2022-05-02,10747.0,5590.59,568084.27,728811.8842857144,751726.4906666667
2022-05-03,13979.0,5370.72,706546.39,726997.1257142856,750652.013
2022-05-04,12759.0,5564.5,724120.4,734448.1971428571,748557.6699999999
2022-05-05,12988.0,5364.18,741991.33,707984.9542857144,750341.4846666667
2022-05-06,14284.0,5259.44,805108.44,725499.4785714286,753657.8863333333
2022-05-07,13921.0,5560.41,785498.79,726645.6928571428,752689.6486666667
2022-05-08,15775.0,5604.72,892360.25,746244.2671428572,757113.1226666667
2022-05-09,13098.0,5205.0599999999995,626311.92,754562.5028571428,747902.5306666666
2022-05-10,12924.0,5757.4800000000005,767533.33,763274.9228571429,748339.9196666667
2022-05-11,13139.0,5733.49,737383.05,765169.587142857,747743.5629999998
2022-05-12,13936.0,5515.22,776570.3,770109.4400000001,748009.0363333334
2022-05-13,13310.0,5121.1,654390.97,748578.3728571429,744246.149
2022-05-14,12249.0,5514.38,720724.85,739324.9528571429,744889.4773333333
2022-05-15,13843.0,5648.45,787814.93,724389.9071428572,746615.547
2022-05-16,14936.0,5237.72,797212.09,748804.2171428573,747198.4176666666
2022-05-17,14463.0,5130.55,783947.16,751149.05,742624.4843333333
2022-05-18,13880.0,5150.25,803197.7899999999,760551.1557142858,742825.0886666666
2022-05-19,13485.0,5447.87,727497.37,753540.7371428572,741338.1836666666
2022-05-20,12794.0,5253.46,616903.99,748185.4542857142,736555.1806666667
2022-05-21,12806.0,5378.0,684280.67,742979.1428571428,735429.1190000001
2022-05-22,14561.0,6075.57,845709.52,751249.7985714285,742902.5953333334
2022-05-23,12565.0,5483.04,679136.74,734381.8914285714,743001.1576666667
2022-05-24,13486.0,5664.71,703181.53,722843.9442857142,739955.675
2022-05-25,13825.0,5653.82,772067.59,718396.7728571428,741372.4196666667
2022-05-26,14950.0,5870.13,861634.67,737559.2442857145,746118.5853333335
2022-05-27,12853.0,5193.08,663211.32,744174.5771428571,745826.866
2022-05-28,11983.0,5570.36,684570.84,744216.03,737738.093
2022-05-29,13109.0,5463.12,699628.29,723347.2828571427,738308.8103333333
2022-05-30,13524.0,5448.88,728161.91,730350.8785714285,736665.031
2022-05-31,11700.0,6142.44,714719.78,731999.2000000001,735316.6826666667
2022-06-01,13203.0,5974.46,771919.7,731978.072857143,742111.197
2022-06-02,14022.0,5461.53,798131.37,722906.1728571429,745164.0296666666
2022-06-03,14094.0,5865.09,785673.03,740400.7028571429,747215.784
2022-06-04,12654.0,5618.46,767950.0599999999,752312.0200000001,748081.075
2022-06-05,14051.0,5320.38,729474.3,756575.7357142858,745559.937
2022-06-06,12724.0,5466.63,704740.09,753229.7614285714,742867.9803333334
2022-06-07,13545.0,5343.57,718049.95,753705.5,737057.637
2022-06-08,13142.0,5560.64,718931.24,746135.72,740144.9476666667
2022-06-09,12001.0,5866.85,670836.13,727950.6857142857,736921.7076666666
2022-06-10,14281.0,5642.56,860765.9500000001,738678.2457142858,741034.4710000001
2022-06-11,13287.0,5550.63,696960.29,728536.85,738380.804
2022-06-12,11565.0,5543.71,629763.41,714292.4371428572,737559.8853333333
2022-06-13,13225.0,5342.55,725307.12,717230.5842857143,737712.6276666668
2022-06-14,14049.0,5129.02,742132.25,720670.9128571429,736189.8716666667
2022-06-15,15189.0,5617.89,866961.53,741818.0971428572,738514.853
2022-06-16,14819.0,5353.39,759413.1900000001,754471.9628571429,737697.054
2022-06-17,14769.0,5968.12,875482.62,756574.3442857143,740106.5483333335
2022-06-18,13785.0,5105.35,746073.32,763590.4914285714,740725.7466666667
2022-06-19,13496.0,5550.21,776075.42,784492.207142857,746031.4609999999
