"Date","Value"
"01/01/1976",0.605
"02/01/1976",0.6
"03/01/1976",0.594
"04/01/1976",0.592
"05/01/1976",0.6
"06/01/1976",0.616
"07/01/1976",0.623
"08/01/1976",0.628
"09/01/1976",0.63
"10/01/1976",0.629
"11/01/1976",0.629
"12/01/1976",0.626
"01/01/1977",0.627
"02/01/1977",0.637
"03/01/1977",0.643
"04/01/1977",0.651
"05/01/1977",0.659
"06/01/1977",0.665
"07/01/1977",0.667
"08/01/1977",0.667
"09/01/1977",0.666
"10/01/1977",0.665
"11/01/1977",0.664
"12/01/1977",0.665
"01/01/1978",0.648
"02/01/1978",0.647
"03/01/1978",0.647
"04/01/1978",0.649
"05/01/1978",0.655
"06/01/1978",0.663
"07/01/1978",0.674
"08/01/1978",0.682
"09/01/1978",0.688
"10/01/1978",0.69
"11/01/1978",0.695
"12/01/1978",0.705
"01/01/1979",0.716
"02/01/1979",0.73
"03/01/1979",0.755
"04/01/1979",0.802
"05/01/1979",0.844
"06/01/1979",0.901
"07/01/1979",0.949
"08/01/1979",0.988
"09/01/1979",1.02
"10/01/1979",1.028
"11/01/1979",1.041
"12/01/1979",1.065
"01/01/1980",1.131
"02/01/1980",1.207
"03/01/1980",1.252
"04/01/1980",1.264
"05/01/1980",1.266
"06/01/1980",1.269
"07/01/1980",1.271
"08/01/1980",1.267
"09/01/1980",1.257
"10/01/1980",1.25
"11/01/1980",1.25
"12/01/1980",1.258
"01/01/1981",1.298
"02/01/1981",1.382
"03/01/1981",1.417
"04/01/1981",1.412
"05/01/1981",1.4
"06/01/1981",1.391
"07/01/1981",1.382
"08/01/1981",1.376
"09/01/1981",1.376
"10/01/1981",1.371
"11/01/1981",1.369
"12/01/1981",1.365
"01/01/1982",1.358
"02/01/1982",1.334
"03/01/1982",1.284
"04/01/1982",1.225
"05/01/1982",1.237
"06/01/1982",1.309
"07/01/1982",1.331
"08/01/1982",1.323
"09/01/1982",1.307
"10/01/1982",1.295
"11/01/1982",1.283
"12/01/1982",1.26
"01/01/1983",1.23
"02/01/1983",1.187
"03/01/1983",1.152
"04/01/1983",1.215
"05/01/1983",1.259
"06/01/1983",1.277
"07/01/1983",1.288
"08/01/1983",1.285
"09/01/1983",1.274
"10/01/1983",1.255
"11/01/1983",1.241
"12/01/1983",1.231
"01/01/1984",1.216
"02/01/1984",1.209
"03/01/1984",1.21
"04/01/1984",1.227
"05/01/1984",1.236
"06/01/1984",1.229
"07/01/1984",1.212
"08/01/1984",1.196
"09/01/1984",1.203
"10/01/1984",1.209
"11/01/1984",1.207
"12/01/1984",1.193
"01/01/1985",1.148
"02/01/1985",1.131
"03/01/1985",1.159
"04/01/1985",1.205
"05/01/1985",1.231
"06/01/1985",1.241
"07/01/1985",1.242
"08/01/1985",1.229
"09/01/1985",1.216
"10/01/1985",1.204
"11/01/1985",1.207
"12/01/1985",1.208
"01/01/1986",1.194
"02/01/1986",1.12
"03/01/1986",0.981
"04/01/1986",0.888
"05/01/1986",0.923
"06/01/1986",0.955
"07/01/1986",0.89
"08/01/1986",0.843
"09/01/1986",0.86
"10/01/1986",0.831
"11/01/1986",0.821
"12/01/1986",0.823
"01/01/1987",0.862
"02/01/1987",0.905
"03/01/1987",0.912
"04/01/1987",0.934
"05/01/1987",0.941
"06/01/1987",0.958
"07/01/1987",0.971
"08/01/1987",0.995
"09/01/1987",0.99
"10/01/1987",0.976
"11/01/1987",0.976
"12/01/1987",0.961
"01/01/1988",0.933
"02/01/1988",0.913
"03/01/1988",0.904
"04/01/1988",0.93
"05/01/1988",0.955
"06/01/1988",0.955
"07/01/1988",0.967
"08/01/1988",0.987
"09/01/1988",0.974
"10/01/1988",0.957
"11/01/1988",0.949
"12/01/1988",0.93
"01/01/1989",0.918
"02/01/1989",0.926
"03/01/1989",0.94
"04/01/1989",1.065
"05/01/1989",1.119
"06/01/1989",1.114
"07/01/1989",1.092
"08/01/1989",1.057
"09/01/1989",1.029
"10/01/1989",1.027
"11/01/1989",0.999
"12/01/1989",0.98
"01/01/1990",1.042
"02/01/1990",1.037
"03/01/1990",1.023
"04/01/1990",1.044
"05/01/1990",1.061
"06/01/1990",1.088
"07/01/1990",1.084
"08/01/1990",1.19
"09/01/1990",1.294
"10/01/1990",1.378
"11/01/1990",1.377
"12/01/1990",1.354
"01/01/1991",1.247
"02/01/1991",1.143
"03/01/1991",1.082
"04/01/1991",1.104
"05/01/1991",1.156
"06/01/1991",1.16
"07/01/1991",1.127
"08/01/1991",1.14
"09/01/1991",1.143
"10/01/1991",1.122
"11/01/1991",1.134
"12/01/1991",1.123
"01/01/1992",1.073
"02/01/1992",1.054
"03/01/1992",1.058
"04/01/1992",1.079
"05/01/1992",1.136
"06/01/1992",1.179
"07/01/1992",1.174
"08/01/1992",1.158
"09/01/1992",1.158
"10/01/1992",1.154
"11/01/1992",1.159
"12/01/1992",1.136
"01/01/1993",1.117
"02/01/1993",1.108
"03/01/1993",1.098
"04/01/1993",1.112
"05/01/1993",1.129
"06/01/1993",1.13
"07/01/1993",1.109
"08/01/1993",1.097
"09/01/1993",1.085
"10/01/1993",1.127
"11/01/1993",1.113
"12/01/1993",1.07
"01/01/1994",1.043
"02/01/1994",1.051
"03/01/1994",1.045
"04/01/1994",1.064
"05/01/1994",1.08
"06/01/1994",1.106
"07/01/1994",1.136
"08/01/1994",1.182
"09/01/1994",1.177
"10/01/1994",1.152
"11/01/1994",1.163
"12/01/1994",1.143
"01/01/1995",1.129
"02/01/1995",1.12
"03/01/1995",1.115
"04/01/1995",1.14
"05/01/1995",1.2
"06/01/1995",1.226
"07/01/1995",1.195
"08/01/1995",1.164
"09/01/1995",1.148
"10/01/1995",1.127
"11/01/1995",1.101
"12/01/1995",1.101
"01/01/1996",1.129
"02/01/1996",1.124
"03/01/1996",1.162
"04/01/1996",1.251
"05/01/1996",1.323
"06/01/1996",1.299
"07/01/1996",1.272
"08/01/1996",1.24
"09/01/1996",1.234
"10/01/1996",1.227
"11/01/1996",1.25
"12/01/1996",1.26
"01/01/1997",1.261
"02/01/1997",1.255
"03/01/1997",1.235
"04/01/1997",1.231
"05/01/1997",1.226
"06/01/1997",1.229
"07/01/1997",1.205
"08/01/1997",1.253
"09/01/1997",1.277
"10/01/1997",1.242
"11/01/1997",1.213
"12/01/1997",1.177
"01/01/1998",1.131
"02/01/1998",1.082
"03/01/1998",1.041
"04/01/1998",1.052
"05/01/1998",1.092
"06/01/1998",1.094
"07/01/1998",1.079
"08/01/1998",1.052
"09/01/1998",1.033
"10/01/1998",1.042
"11/01/1998",1.028
"12/01/1998",0.986
"01/01/1999",0.972
"02/01/1999",0.955
"03/01/1999",0.991
"04/01/1999",1.177
"05/01/1999",1.178
"06/01/1999",1.148
"07/01/1999",1.189
"08/01/1999",1.255
"09/01/1999",1.28
"10/01/1999",1.274
"11/01/1999",1.264
"12/01/1999",1.298
"01/01/2000",1.301
"02/01/2000",1.369
"03/01/2000",1.541
"04/01/2000",1.506
"05/01/2000",1.498
"06/01/2000",1.617
"07/01/2000",1.593
"08/01/2000",1.51
"09/01/2000",1.582
"10/01/2000",1.559
"11/01/2000",1.555
"12/01/2000",1.489
"01/01/2001",1.472
"02/01/2001",1.484
"03/01/2001",1.447
"04/01/2001",1.564
"05/01/2001",1.729
"06/01/2001",1.64
"07/01/2001",1.482
"08/01/2001",1.427
"09/01/2001",1.531
"10/01/2001",1.362
"11/01/2001",1.263
"12/01/2001",1.131
"01/01/2002",1.139
"02/01/2002",1.13
"03/01/2002",1.241
"04/01/2002",1.407
"05/01/2002",1.421
"06/01/2002",1.404
"07/01/2002",1.412
"08/01/2002",1.423
"09/01/2002",1.422
"10/01/2002",1.449
"11/01/2002",1.448
"12/01/2002",1.394
"01/01/2003",1.473
"02/01/2003",1.641
"03/01/2003",1.748
"04/01/2003",1.659
"05/01/2003",1.542
"06/01/2003",1.514
"07/01/2003",1.524
"08/01/2003",1.628
"09/01/2003",1.728
"10/01/2003",1.603
"11/01/2003",1.535
"12/01/2003",1.494
"01/01/2004",1.592
"02/01/2004",1.672
"03/01/2004",1.766
"04/01/2004",1.833
"05/01/2004",2.009
"06/01/2004",2.041
"07/01/2004",1.939
"08/01/2004",1.898
"09/01/2004",1.891
"10/01/2004",2.029
"11/01/2004",2.01
"12/01/2004",1.882
"01/01/2005",1.823
"02/01/2005",1.918
"03/01/2005",2.065
"04/01/2005",2.283
"05/01/2005",2.216
"06/01/2005",2.176
"07/01/2005",2.316
"08/01/2005",2.506
"09/01/2005",2.927
"10/01/2005",2.785
"11/01/2005",2.343
"12/01/2005",2.186
"01/01/2006",2.315
"02/01/2006",2.31
"03/01/2006",2.401
"04/01/2006",2.757
"05/01/2006",2.947
"06/01/2006",2.917
"07/01/2006",2.999
"08/01/2006",2.985
"09/01/2006",2.589
"10/01/2006",2.272
"11/01/2006",2.241
"12/01/2006",2.334
"01/01/2007",2.274
"02/01/2007",2.285
"03/01/2007",2.592
"04/01/2007",2.86
"05/01/2007",3.13
"06/01/2007",3.052
"07/01/2007",2.961
"08/01/2007",2.782
"09/01/2007",2.789
"10/01/2007",2.793
"11/01/2007",3.069
"12/01/2007",3.02
"01/01/2008",3.047
"02/01/2008",3.033
"03/01/2008",3.258
"04/01/2008",3.441
"05/01/2008",3.764
"06/01/2008",4.065
"07/01/2008",4.09
"08/01/2008",3.786
"09/01/2008",3.698
"10/01/2008",3.173
"11/01/2008",2.151
"12/01/2008",1.689
"01/01/2009",1.787
"02/01/2009",1.928
"03/01/2009",1.949
"04/01/2009",2.056
"05/01/2009",2.265
"06/01/2009",2.631
"07/01/2009",2.543
"08/01/2009",2.627
"09/01/2009",2.574
"10/01/2009",2.561
"11/01/2009",2.66
"12/01/2009",2.621
"01/01/2010",2.731
"02/01/2010",2.659
"03/01/2010",2.78
"04/01/2010",2.858
"05/01/2010",2.869
"06/01/2010",2.736
"07/01/2010",2.736
"08/01/2010",2.745
"09/01/2010",2.704
"10/01/2010",2.795
"11/01/2010",2.852
"12/01/2010",2.985
"01/01/2011",3.091
"02/01/2011",3.167
"03/01/2011",3.546
"04/01/2011",3.816
"05/01/2011",3.933
"06/01/2011",3.702
"07/01/2011",3.654
"08/01/2011",3.63
"09/01/2011",3.612
"10/01/2011",3.468
"11/01/2011",3.423
"12/01/2011",3.278
"01/01/2012",3.399
"02/01/2012",3.572
"03/01/2012",3.868
"04/01/2012",3.927
"05/01/2012",3.792
"06/01/2012",3.552
"07/01/2012",3.451
"08/01/2012",3.707
"09/01/2012",3.856
"10/01/2012",3.786
"11/01/2012",3.488
"12/01/2012",3.331
"01/01/2013",3.351
"02/01/2013",3.693
"03/01/2013",3.735
"04/01/2013",3.59
"05/01/2013",3.623
"06/01/2013",3.633
"07/01/2013",3.628
"08/01/2013",3.6
"09/01/2013",3.556
"10/01/2013",3.375
"11/01/2013",3.251
"12/01/2013",3.277
"01/01/2014",3.32
"02/01/2014",3.364
"03/01/2014",3.532
"04/01/2014",3.659
"05/01/2014",3.691
"06/01/2014",3.695
"07/01/2014",3.633
"08/01/2014",3.481
"09/01/2014",3.403
"10/01/2014",3.182
"11/01/2014",2.887
"12/01/2014",2.56
"01/01/2015",2.11
"02/01/2015",2.249
"03/01/2015",2.483
"04/01/2015",2.485
"05/01/2015",2.775
"06/01/2015",2.832
"07/01/2015",2.832
"08/01/2015",2.679
"09/01/2015",2.394
"10/01/2015",2.289
"11/01/2015",2.185
"12/01/2015",2.06
"01/01/2016",1.967
"02/01/2016",1.767
"03/01/2016",1.958
"04/01/2016",2.134
"05/01/2016",2.264
"06/01/2016",2.363
"07/01/2016",2.225
"08/01/2016",2.155
"09/01/2016",2.208
"10/01/2016",2.243
"11/01/2016",2.187
"12/01/2016",2.23
"01/01/2017",2.351
"02/01/2017",2.299
"03/01/2017",2.323
"04/01/2017",2.418
"05/01/2017",2.386
"06/01/2017",2.337
"07/01/2017",2.281
"08/01/2017",2.374
"09/01/2017",2.63
"10/01/2017",2.484
"11/01/2017",2.548
"12/01/2017",2.459
"01/01/2018",2.539
"02/01/2018",2.575
"03/01/2018",2.572
"04/01/2018",2.737
"05/01/2018",2.907
"06/01/2018",2.914
"07/01/2018",2.873
"08/01/2018",2.862
"09/01/2018",2.873
"10/01/2018",2.887
"11/01/2018",2.671
"12/01/2018",2.414
"01/01/2019",2.289
"02/01/2019",2.353
"03/01/2019",2.564
"04/01/2019",2.835
"05/01/2019",2.901
"06/01/2019",2.752
"07/01/2019",2.776
"08/01/2019",2.655
"09/01/2019",2.63
"10/01/2019",2.673
"11/01/2019",2.62
"12/01/2019",2.587
"01/01/2020",2.567
"02/01/2020",2.465
"03/01/2020",2.267
"04/01/2020",1.876
"05/01/2020",1.879
"06/01/2020",2.076
"07/01/2020",2.176
"08/01/2020",2.177
"09/01/2020",2.193
"10/01/2020",2.159
"11/01/2020",2.09
"12/01/2020",2.168
"01/01/2021",2.326
"02/01/2021",2.496
"03/01/2021",2.791
"04/01/2021",2.839
"05/01/2021",2.972
"06/01/2021",3.154
"07/01/2021",3.233
"08/01/2021",3.255
"09/01/2021",3.265
"10/01/2021",3.385
"11/01/2021",3.482
"12/01/2021",3.408
"01/01/2022",3.413
"02/01/2022",3.592
"03/01/2022",4.312
"04/01/2022",4.271
"05/01/2022",4.604
"06/01/2022",5.058
"07/01/2022",4.667
"08/01/2022",4.101
"09/01/2022",3.881
"10/01/2022",4.016
"11/01/2022",3.853
"12/01/2022",3.356
"01/01/2023",3.452
"02/01/2023",3.514
"03/01/2023",3.551
"04/01/2023",3.735
"05/01/2023",3.685
"06/01/2023",3.712
"07/01/2023",3.732
"08/01/2023",3.955
"09/01/2023",3.988
"10/01/2023",3.782
"11/01/2023",3.5
"12/01/2023",3.289
"01/01/2024",3.221
"02/01/2024",3.359
"03/01/2024",3.581
"04/01/2024",3.776
"05/01/2024",3.755
"06/01/2024",3.601
