Year,Reformatted Dates,Average of Gas Prices per Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Annual Average CPI per Year,Real Gas Price(inflation Adjusted)
1976,1/1/1976,0.614333333,55.6,55.8,55.9,56.1,56.5,56.8,57.1,57.4,57.6,57.9,58,58.2,56.908,3.475419236
1977,1/1/1977,0.656333333,58.5,59.1,59.5,60,60.3,60.7,61,61.2,61.4,61.6,61.9,62.1,60.608,3.48635098
1978,1/1/1978,0.67025,62.5,62.9,63.4,63.9,64.5,65.2,65.7,66,66.5,67.1,67.4,67.7,65.233,3.307853282
1979,1/1/1979,0.90325,68.3,69.1,69.8,70.6,71.5,72.3,73.1,73.8,74.6,75.2,75.9,76.7,72.575,4.006820734
1980,1/1/1980,1.245166667,77.8,78.9,80.1,81,81.8,82.7,82.7,83.3,84,84.8,85.5,86.3,82.408,4.8644679
1981,1/1/1981,1.37825,87,87.9,88.5,89.1,89.8,90.6,91.6,92.3,93.2,93.4,93.7,94,90.925,4.88004333
1982,1/1/1982,1.2955,94.3,94.6,94.5,94.9,95.8,97,97.5,97.7,97.9,98.2,98,97.6,96.5,4.322043073
1983,1/1/1983,1.241166667,97.8,97.9,97.9,98.6,99.2,99.5,99.9,100.2,100.7,101,101.2,101.3,99.6,4.011896789
1984,1/1/1984,1.21225,101.9,102.4,102.6,103.1,103.4,103.7,104.1,104.5,105,105.3,105.3,105.3,103.883,3.756862523
1985,1/1/1985,1.20175,105.5,106,106.4,106.9,107.3,107.6,107.8,108,108.3,108.7,109,109.3,107.567,3.596792689
1986,1/1/1986,0.927416667,109.6,109.3,108.8,108.6,108.9,109.5,109.5,109.7,110.2,110.3,110.4,110.5,109.608,2.724020107
1987,1/1/1987,0.948416667,111.2,111.6,112.1,112.7,113.1,113.5,113.8,114.4,115,115.3,115.4,115.4,113.625,2.687226464
1988,1/1/1988,0.946166667,115.7,116,116.5,117.1,117.5,118,118.5,119,119.8,120.2,120.3,120.5,118.258,2.575816237
1989,1/1/1989,1.022166667,121.1,121.6,122.3,123.1,123.8,124.1,124.4,124.6,125,125.6,125.9,126.1,123.967,2.654579751
1990,1/1/1990,1.164333333,127.4,128,128.7,128.9,129.2,129.9,130.4,131.6,132.7,133.5,133.8,133.8,130.658,2.868925056
1991,1/1/1991,1.140083333,134.6,134.8,135,135.2,135.6,136,136.2,136.6,137.2,137.4,137.8,137.9,136.192,2.695038967
1992,1/1/1992,1.1265,138.1,138.6,139.3,139.5,139.7,140.2,140.5,140.9,141.3,141.8,142,141.9,140.317,2.584645132
1993,1/1/1993,1.107916667,142.6,143.1,143.6,144,144.2,144.4,144.4,144.8,145.1,145.7,145.8,145.8,144.458,2.469127306
1994,1/1/1994,1.111833333,146.2,146.7,147.2,147.4,147.5,148,148.4,149,149.4,149.5,149.7,149.7,148.225,2.414889248
1995,1/1/1995,1.147166667,150.3,150.9,151.4,151.9,152.2,152.5,152.5,152.9,153.2,153.7,153.6,153.5,152.383,2.423639581
1996,1/1/1996,1.230916667,154.4,154.9,155.7,156.3,156.6,156.7,157,157.3,157.8,158.3,158.6,158.6,156.85,2.526522183
1997,1/1/1997,1.233666667,159.1,159.6,160,160.2,160.1,160.3,160.5,160.8,161.2,161.6,161.5,161.3,160.517,2.474324666
1998,1/1/1998,1.059333333,161.6,161.9,162.2,162.5,162.8,163,163.2,163.4,163.6,164,164,163.9,163.008,2.092193352
1999,1/1/1999,1.165083333,164.3,164.5,165,166.2,166.2,166.2,166.7,167.1,167.9,168.2,168.3,168.3,166.575,2.251781021
2000,1/1/2000,1.51,168.8,169.8,171.2,171.3,171.5,172.4,172.8,172.8,173.7,174,174.1,174,172.2,2.82307741
2001,1/1/2001,1.461,175.1,175.8,176.2,176.9,177.7,178,177.5,177.5,178.3,177.7,177.4,176.7,177.067,2.65639339
2002,1/1/2002,1.3575,177.1,177.8,178.8,179.8,179.8,179.9,180.1,180.7,181,181.3,181.3,180.9,179.875,2.429674065
2003,1/1/2003,1.59075,181.7,183.1,184.2,183.8,183.5,183.7,183.9,184.6,185.2,185,184.5,184.3,183.958,2.783950137
